full_name,targets,rec,rec_yards,air_yards,yac,td,adot,racr,ms_air,tgt_share,wopr,ppr
DeAndre Carter,23,20,195,79,136,0,3.4,2.47,0.05,0.11,0.19,40.2
Travis Benjamin,23,11,185,526,60,1,22.9,0.35,0.17,0.06,0.2,39.6
Justin Hardy,22,14,133,157,65,2,7.1,0.85,0.03,0.04,0.07,39.3
Trent Sherfield,25,16,171,287,27,1,11.5,0.6,0.13,0.1,0.25,39.1
Brandon LaFell,16,12,135,133,53,2,8.3,1.02,0.18,0.14,0.33,37.5
Erik Swoope,11,9,95,94,17,3,8.5,1.01,0.04,0.04,0.08,36.5
Bruce Ellington,30,23,132,99,84,0,3.3,1.33,0.12,0.23,0.43,36.4
Marcell Ateman,31,15,154,353,31,1,11.4,0.44,0.21,0.15,0.37,36.4
Cody Latimer,16,11,190,318,23,1,19.9,0.6,0.2,0.07,0.25,36
Alex Erickson,27,18,154,292,78,0,10.8,0.53,0.07,0.05,0.12,35.6
Cody Core,27,13,160,329,36,1,12.2,0.49,0.12,0.09,0.21,35
Austin Carr,15,10,107,141,22,2,9.4,0.76,0.07,0.05,0.13,32.7
Brandon Marshall,24,12,144,263,25,1,11,0.55,0.18,0.15,0.35,32.4
Josh Bellamy,26,14,117,294,46,1,11.3,0.4,0.08,0.06,0.15,31.7
Andre Holmes,23,14,176,301,42,0,13.1,0.58,0.1,0.07,0.17,31.6
D.J. Chark,32,14,174,283,45,0,8.8,0.61,0.11,0.08,0.19,31.4
Marvin Hall,19,10,149,208,57,1,10.9,0.72,0.05,0.04,0.08,30.9
Richie James,14,9,130,76,101,1,5.4,1.71,0.03,0.04,0.07,28
Deonte Thompson,21,15,129,188,38,0,9,0.69,0.11,0.1,0.23,27.9
Damion Ratley,20,13,144,201,51,0,10.1,0.72,0.11,0.1,0.23,27.4
Cameron Meredith,10,9,114,92,38,1,9.2,1.24,0.14,0.09,0.24,26.4
Michael Floyd,24,10,100,326,29,1,13.6,0.31,0.13,0.08,0.21,26
Andre Roberts,17,10,79,150,17,1,8.8,0.53,0.03,0.03,0.07,25.9
Andy Jones,24,11,80,220,26,1,9.2,0.36,0.19,0.12,0.31,25
Deontay Burnett,14,10,143,149,22,0,10.6,0.96,0.08,0.08,0.18,24.3
Jake Kumerow,11,8,103,111,23,1,10.1,0.93,0.06,0.05,0.12,24.3
Brandon Powell,17,11,129,47,115,0,2.8,2.74,0.03,0.08,0.14,24.3
Bruce Ellington,12,8,92,129,24,1,10.8,0.71,0.1,0.11,0.23,23.2
Trey Quinn,10,9,75,73,17,1,7.3,1.03,0.09,0.1,0.2,22.5
Marcus Johnson,8,6,102,110,28,1,13.8,0.93,0.07,0.04,0.11,22
Darius Jennings,15,11,101,163,37,0,10.9,0.62,0.05,0.04,0.1,21.3
Vyncint Smith,10,5,91,239,6,1,23.9,0.38,0.15,0.07,0.21,20.1
Eli Rogers,14,12,79,62,40,0,4.4,1.27,0.06,0.11,0.21,19.5
Leonte Carroo,4,2,94,105,36,1,26.2,0.9,0.11,0.03,0.13,18.8
Brice Butler,8,6,60,68,1,1,8.5,0.88,0.09,0.09,0.19,18
Niles Paul,12,9,79,95,25,0,7.9,0.83,0.06,0.05,0.12,16.6
Tommylee Lewis,3,3,60,59,1,1,19.7,1.02,0.03,0.01,0.04,16
Cameron Batson,10,7,72,75,42,0,7.5,0.96,0.04,0.05,0.1,14.3
J.J. Nelson,19,7,64,358,24,0,18.8,0.18,0.16,0.07,0.21,13.4
Kevin White,8,4,92,185,6,0,23.1,0.5,0.18,0.08,0.24,13.2
Corey Coleman,8,5,71,100,8,0,12.5,0.71,0.04,0.03,0.08,12.6
De'Anthony Thomas,5,3,29,71,27,1,14.2,0.41,0.05,0.04,0.09,12.5
David Grinnage,8,6,61,63,18,0,7.9,0.97,0.09,0.07,0.18,12.1
Rashad Greene,8,6,60,60,15,0,7.5,1,0.04,0.03,0.08,12
Kamar Aiken,7,6,53,47,11,0,6.7,1.13,0.07,0.07,0.15,11.3
Dwayne Harris,6,6,40,-7,47,0,-1.2,-5.71,0,0.01,0.02,11.2
Nathan Peterman,0,0,0,545,0,0,Inf,0,0.41,0,0.28,10.8
Russell Gage,9,5,56,105,12,0,11.7,0.53,0.04,0.03,0.07,10.6
Noah Brown,8,5,54,75,20,0,9.4,0.72,0.05,0.03,0.08,10.4
Cody Hollister,5,4,52,41,16,0,8.2,1.27,0.04,0.04,0.09,9.2
Derrick Willies,5,3,61,18,54,0,3.6,3.39,0.05,0.12,0.21,9.1
Ray-Ray McCloud,6,5,36,13,28,0,2.2,2.77,0.01,0.02,0.04,9
Josh Gordon,3,1,17,129,17,1,43,0.13,0.29,0.08,0.32,8.7
Jawill Davis,8,4,40,127,4,0,15.9,0.31,0.06,0.03,0.09,8
Chad Beebe,4,4,39,51,12,0,12.8,0.76,0.06,0.04,0.11,7.9
Auden Tate,12,4,35,136,7,0,11.3,0.26,0.11,0.09,0.22,7.5
Bobo Wilson,4,3,44,53,13,0,13.2,0.83,0.03,0.02,0.06,7.4
Javon Wims,5,4,32,34,2,0,6.8,0.94,0.07,0.1,0.19,7.2
Roc Thomas,4,2,21,8,12,0,2,2.62,0.01,0.02,0.03,7.1
Deonte Thompson,10,3,37,190,4,0,19,0.19,0.09,0.07,0.16,6.7
Jalen Tolliver,6,3,37,83,14,0,13.8,0.45,0.09,0.06,0.15,6.7
Tyler Ervin,4,3,35,25,12,0,6.2,1.4,0.01,0.01,0.03,6.5
Mike Gillislee,1,1,9,0,9,0,0,Inf,0,0.01,0.01,5.8
Shelton Gibson,3,1,48,100,0,0,33.3,0.48,0.07,0.02,0.07,5.8
KhaDarel Hodge,4,3,24,24,0,0,6,1,0.01,0.02,0.04,5.4
River Cracraft,2,1,44,68,7,0,34,0.65,0.03,0.01,0.03,5.4
Justin Hunter,13,3,21,235,2,0,18.1,0.09,0.17,0.08,0.23,5.1
Brian Quick,3,3,18,17,1,0,5.7,1.06,0.03,0.04,0.08,4.8
Kelvin Benjamin,5,2,26,65,1,0,13,0.4,0.08,0.05,0.13,4.6
Charone Peake,3,2,25,40,4,0,13.3,0.62,0.02,0.02,0.04,4.5
DeAndre Carter,2,2,21,7,14,0,3.5,3,0,0.01,0.02,4.1
Rishard Matthews,6,3,11,20,5,0,3.3,0.55,0.04,0.07,0.13,4.1
Malik Turner,3,2,20,11,14,0,3.7,1.82,0.02,0.06,0.11,4
Terrance Williams,3,2,18,27,6,0,9,0.67,0.06,0.05,0.12,3.8
Nick Williams,3,2,17,18,5,0,6,0.94,0.03,0.05,0.09,3.7
Terrelle Pryor,8,2,17,111,1,0,13.9,0.15,0.19,0.11,0.3,3.6
J'Mon Moore,3,2,15,19,6,0,6.3,0.79,0.01,0.02,0.04,3.5
Jamaal Charles,3,2,7,4,5,0,1.3,1.75,0.01,0.04,0.07,3.4
Brandon Zylstra,2,1,23,43,8,0,21.5,0.53,0.03,0.01,0.04,3.3
Rishard Matthews,3,2,13,37,0,0,12.3,0.35,0.05,0.03,0.08,3.3
Tyrone Swoopes,1,1,23,8,15,0,8,2.88,0.04,0.05,0.09,3.3
Gehrig Dieter,3,1,22,54,13,0,18,0.41,0.09,0.05,0.13,3.2
Hakeem Valles,3,2,11,25,1,0,8.3,0.44,0.04,0.04,0.08,3.1
Jeremy Kerley,4,2,7,15,15,0,3.8,0.47,0.03,0.12,0.2,2.7
Tim White,1,1,14,14,0,0,14,1,0.01,0.01,0.02,2.4
Robert Turbin,2,1,3,-6,3,0,-3,-0.5,-0.01,0.02,0.03,2.3
Josh Malone,5,1,12,40,0,0,8,0.3,0.04,0.04,0.1,2.2
Sammie Coates,2,1,12,9,5,0,4.5,1.33,0.01,0.02,0.03,2.2
Victor Bolden,4,1,10,47,1,0,11.8,0.21,0.19,0.07,0.24,2
Cam Phillips,1,1,9,13,7,0,13,0.69,0.02,0.01,0.04,1.9
Damiere Byrd,2,1,8,25,1,0,12.5,0.32,0.02,0.01,0.02,1.8
Darvin Kidsy,2,1,8,18,2,0,9,0.44,0.07,0.07,0.16,1.8
Keon Hatcher,2,1,8,14,8,0,7,0.57,0.03,0.03,0.06,1.8
Allen Lazard,1,1,7,7,0,0,7,1,0.02,0.02,0.05,1.7
Brandon Wilds,0,0,0,43,0,0,Inf,0,0.04,0,0.03,1.7
Marcus Kemp,2,1,7,4,8,0,2,1.75,0,0.01,0.02,1.7
Andre Holmes,1,1,5,-3,8,0,-3,-1.67,-0.01,0.02,0.02,1.5
Justin Watson,3,1,5,15,0,0,5,0.33,0.01,0.01,0.02,1.5
Khari Lee,1,1,5,-1,6,0,-1,-5,0,0.03,0.04,1.5
J.J. Jones,1,1,3,2,1,0,2,1.5,0.01,0.04,0.06,1.3
Jehu Chesson,2,1,7,22,0,0,11,0.32,0.01,0.01,0.03,1.3
Darrius Heyward-Bey,2,1,9,25,10,0,12.5,0.36,0.03,0.01,0.04,1.2
Christine Michael,0,0,0,0,0,0,NA,NA,0,0,0,0.9
Sam Bradford,0,0,0,512,0,0,Inf,0,0.87,0,0.61,0.7
Adam Jones,0,0,0,55,0,0,Inf,0,0.03,0,0.02,0
Arthur Maulet,0,0,0,38,0,0,Inf,0,0.04,0,0.03,0
Barry Church,0,0,0,159,0,0,Inf,0,0.07,0,0.05,0
Brandon Tate,0,0,0,0,0,0,NA,NA,0,0,0,0
Brice Butler,1,0,0,46,0,0,46,0,0.13,0.03,0.13,0
Caleb Sturgis,0,0,0,0,0,0,NA,NA,0,0,0,0
Chandon Sullivan,0,0,0,71,0,0,Inf,0,0.15,0,0.11,0
Chris Lacy,1,0,0,9,0,0,9,0,0.04,0.03,0.08,0
Chris Landrum,0,0,0,-10,0,0,-Inf,0,-0.01,0,-0.01,0
Colton Schmidt,0,0,0,0,0,0,NA,NA,0,0,0,0
Damontre Moore,0,0,0,12,0,0,Inf,0,0.02,0,0.01,0
Dare Ogunbowale,0,0,0,0,0,0,NA,NA,0,0,0,0
David Parry,0,0,0,-3,0,0,-Inf,0,0,0,0,0
Deatrick Nichols,0,0,0,0,0,0,NA,NA,0,0,0,0
Derrick Johnson,0,0,0,31,0,0,Inf,0,0.03,0,0.02,0
DeVante Bausby,0,0,0,85,0,0,Inf,0,0.12,0,0.08,0
Dexter McDougle,0,0,0,39,0,0,Inf,0,0.07,0,0.05,0
Dominique Rodgers-Cromartie,0,0,0,41,0,0,Inf,0,0.03,0,0.02,0
Donte' Deayon,0,0,0,52,0,0,Inf,0,0.07,0,0.05,0
Drew Kaser,0,0,0,0,0,0,NA,NA,0,0,0,0
Freddie Martino,0,0,0,0,0,0,NA,NA,0,0,0,0
Gabe Holmes,0,0,0,0,0,0,NA,NA,0,0,0,0
Garrison Smith,0,0,0,0,0,0,NA,NA,0,0,0,0
Geremy Davis,1,0,0,0,0,0,0,NA,0,0.01,0.01,0
Ifeadi Odenigbo,0,0,0,0,0,0,NA,NA,0,0,0,0
Isaiah Ford,1,0,0,6,0,0,6,0,0.02,0.04,0.08,0
Isaiah Johnson,0,0,0,0,0,0,NA,NA,0,0,0,0
Isaiah McKenzie,0,0,0,0,0,0,NA,NA,0,0,0,0
James Burgess,0,0,0,6,0,0,Inf,0,0.01,0,0,0
Jamiyus Pittman,0,0,0,0,0,0,NA,NA,0,0,0,0
Janarion Grant,0,0,0,0,0,0,NA,NA,0,0,0,0
Jarvis Jenkins,0,0,0,1,0,0,Inf,0,0,0,0,0
Jaydon Mickens,0,0,0,0,0,0,NA,NA,0,0,0,0
Jerel Worthy,0,0,0,0,0,0,NA,NA,0,0,0,0
Jeremiah McKinnon,0,0,0,0,0,0,NA,NA,0,0,0,0
J.J. Jones,0,0,0,0,0,0,NA,NA,0,0,0,0
Johnny Holton,1,0,0,45,0,0,45,0,0.15,0.03,0.15,0
JoJo Natson,0,0,0,0,0,0,NA,NA,0,0,0,0
J.T. Gray,0,0,0,0,0,0,NA,NA,0,0,0,0
Kaelin Clay,0,0,0,0,0,0,NA,NA,0,0,0,0
Keith Tandy,0,0,0,0,0,0,NA,NA,0,0,0,0
Korey Toomer,0,0,0,9,0,0,Inf,0,0.03,0,0.02,0
Lance Lenoir,0,0,0,0,0,0,NA,NA,0,0,0,0
Lenzy Pipkins,0,0,0,0,0,0,NA,NA,0,0,0,0
Lenzy Pipkins,0,0,0,14,0,0,Inf,0,0.03,0,0.02,0
Leonard Johnson,0,0,0,60,0,0,Inf,0,0.11,0,0.08,0
Marquette King,0,0,0,0,0,0,NA,NA,0,0,0,0
Martrell Spaight,0,0,0,0,0,0,NA,NA,0,0,0,0
Matthew Slater,0,0,0,0,0,0,NA,NA,0,0,0,0
Matthew Thomas,0,0,0,7,0,0,Inf,0,0.01,0,0.01,0
Michael Bennett,0,0,0,0,0,0,NA,NA,0,0,0,0
Mike Wallace,3,0,0,109,0,0,36.3,0,0.32,0.09,0.36,0
Montae Nicholson,0,0,0,153,0,0,Inf,0,0.06,0,0.04,0
Nate Orchard,0,0,0,-7,0,0,-Inf,0,-0.01,0,-0.01,0
Nick Williams,1,0,0,27,0,0,27,0,0.05,0.01,0.05,0
Pharoh Cooper,0,0,0,0,0,0,NA,NA,0,0,0,0
Pharoh Cooper,1,0,0,6,0,0,6,0,0,0,0.01,0
Quadree Henderson,0,0,0,0,0,0,NA,NA,0,0,0,0
Riley McCarron,1,0,0,27,0,0,27,0,0.07,0.03,0.09,0
Ron Parker,0,0,0,401,0,0,Inf,0,0.09,0,0.06,0
Sam Ficken,0,0,0,0,0,0,NA,NA,0,0,0,0
Shamarko Thomas,0,0,0,5,0,0,Inf,0,0.01,0,0,0
Stacy Coley,1,0,0,9,0,0,9,0,0.03,0.02,0.05,0
Stacy Coley,0,0,0,0,0,0,NA,NA,0,0,0,0
Tank Carradine,0,0,0,0,0,0,NA,NA,0,0,0,0
Tre'Von Johnson,0,0,0,0,0,0,NA,NA,0,0,0,0
Trevor Davis,0,0,0,0,0,0,NA,NA,0,0,0,0
Victor Bolden,0,0,0,0,0,0,NA,NA,0,0,0,0
Vontae Davis,0,0,0,-3,0,0,-Inf,0,-0.01,0,-0.01,0
Chad Kelly,0,0,0,0,0,0,NA,NA,0,0,0,-0.1
Rod Streater,0,0,0,0,0,0,NA,NA,0,0,0,-1.1
